Tables,channel_id,followers_gain,last_streamed_game,channel_country,stream_language,partnership_status,channel_type,hours_watched,airtime_in_m,platform,channel_name,peak_viewers,average_viewers,live_views
2,181077473,16190,Counter-Strike: Global Offensive,BR,pt,partner,Male,3891316,167.8,twitch,gaules,366056,23186,8666948.0
5,71092938,36001,Overwatch 2,CA,en,partner,Male,2602644,32.6,twitch,xqc,113230,79877,6783454.0
6,67708794,22385,Dota 2,RU,ru,partner,Male,2155658,45.3,twitch,nix,106771,47552,7443985.0
8,641972806,76094,Just Chatting,US,en,partner,Male,1933624,29.4,twitch,kaicenat,140958,65733,7996715.0
9,90075649,25395,Pokemon Community Game,ES,es,partner,Male,1883237,30.8,twitch,illojuan,85495,61079,5319594.0
11,459331509,34144,Minecraft,ES,es,partner,Male,1776672,22.9,twitch,auronplay,108916,77528,7104164.0
13,238813810,10296,FIFA 23,DE,de,partner,Male,1644118,44.7,twitch,eliasn97,125900,36809,1098201.0
14,59299632,58049,Just Chatting,US,en,partner,Male,1599945,23.7,twitch,adinross,129020,67604,5646817.0
15,49207184,3524,Omega Strikers,JP,ja,partner,Male,1589426,88.1,twitch,fps_shaka,36278,18045,3874476.0
18,207813352,11240,Just Chatting,US,en,partner,Male,1433332,46.5,twitch,hasanabi,76110,30825,4499230.0
19,71190292,7825,Slots,US,en,partner,Male,1420681,67.1,twitch,trainwreckstv,37084,21179,3299064.0
20,26490481,7470,Overwatch 2,US,en,partner,Male,1367867,78.7,twitch,summit1g,33125,17389,3624087.0
22,37402112,18299,Overwatch 2,CA,en,partner,Male,1153557,49.9,twitch,shroud,62402,23111,4186669.0
23,83232866,20070,League of Legends,ES,es,partner,Male,1031602,28.8,twitch,ibai,94284,35779,3922072.0
25,19070311,27954,Overwatch 2,US,en,partner,Male,1007095,56.0,twitch,a_seagull,48530,17985,2078670.0
26,31919607,8316,Pokemon Community Game,ES,es,partner,Male,966975,46.9,twitch,elxokas,33892,20611,3385636.0
27,52091823,11327,FIFA 23,US,en,partner,Male,944230,40.6,twitch,castro_1021,42219,23267,3019560.0
28,157658336,37344,Minecraft,AR,es,partner,Male,925136,18.8,twitch,elspreen,74901,49341,3802118.0
29,42316376,4187,Dota 2,RU,ru,partner,Male,900635,53.5,twitch,just_ns,32647,16835,1993361.0
30,50988750,2677,Final Fantasy XIV Online,JP,ja,partner,Male,891850,65.7,twitch,stylishnoob4,23822,13582,1928163.0
31,138094916,27318,Overwatch 2,US,en,partner,Male,887840,49.1,twitch,sinatraa,32573,18089,871019.0
33,94753024,-18960,Just Chatting,US,en,partner,Male,865194,28.2,twitch,mizkif,73610,30627,4013230.0
34,51496027,5293,League of Legends,US,en,partner,Male,829308,57.9,twitch,loltyler1,22838,14320,2255017.0
36,139470326,1031,For The King,KR,ko,partner,Male,805519,51.6,twitch,handongsuk,32960,15617,2407244.0
37,168732568,48200,Just Chatting,CO,es,partner,Male,799627,26.7,twitch,westcol,98087,29987,3544516.0
38,23161357,2544,Overwatch 2,US,en,partner,Male,788354,38.4,twitch,lirik,35640,20522,2000710.0
39,496795673,33319,The Last of Us Part I,MX,es,partner,Male,787842,24.2,twitch,elmariana,48314,32601,3227098.0
40,64342766,9919,Clash of Clans,DE,de,partner,Male,781025,38.8,twitch,trymacs,30724,20113,3005409.0
41,85397463,1410,League of Legends,DE,de,partner,Male,773868,54.2,twitch,noway4u_sir,23241,14288,1420399.0
42,552120296,14206,Overwatch 2,US,en,without status,Male,745031,49.9,twitch,zackrawrr,28182,14926,1337285.0
43,44525650,4776,Overwatch 2,JP,ja,partner,Male,739977,69.0,twitch,k4sen,25057,10725,1972209.0
44,84316241,3157,Grand Theft Auto V,US,en,partner,Male,731800,131.8,twitch,penta,11034,5552,1258863.0
45,254489093,9437,Sports,BR,pt,partner,Male,723895,28.7,twitch,casimito,51736,25253,1744162.0
46,108268890,3164,Dota 2,SE,en,partner,Male,723837,52.8,twitch,gorgc,26284,13701,1659655.0
48,39276140,24072,Minecraft,ES,es,partner,Male,710421,27.7,twitch,rubius,45631,25679,2862065.0
49,152633332,14745,Pokemon Community Game,ES,es,partner,Male,697049,34.2,twitch,knekro,42320,20353,1756342.0
50,155601320,1993,Grand Theft Auto V,FR,fr,partner,Male,672755,53.3,twitch,jltomy,21788,12615,2091834.0
51,125387632,13213,Just Chatting,US,en,partner,Female,621448,65.1,twitch,amouranth,17366,9550,2696841.0
52,56649026,1407,Terraria,NZ,en,partner,Male,604897,54.1,twitch,quin69,16695,11185,1005812.0
53,7236692,495,Resident Evil 4,US,en,partner,Male,604703,119.2,twitch,dansgaming,9199,5075,829508.0
54,192678094,781,The Cycle: Frontier,US,en,partner,Male,604165,167.5,twitch,chap,6480,3608,349905.0
55,77827128,5053,Slots,IT,it,partner,Male,593162,47.6,twitch,tumblurr,24389,12466,1799214.0
56,12943173,7198,Overwatch 2,US,en,partner,Male,591003,56.4,twitch,pokelawls,21956,10476,1312182.0
57,25202416,691,Just Chatting,TW,zh,partner,Male,586468,167.7,twitch,shuteye_orange,7472,3499,445880.0
58,38244180,11729,God of War,BR,pt,partner,Male,585960,29.0,twitch,alanzoka,26507,20206,1743412.0
59,128293484,1763,Teamfight Tactics,US,en,partner,Male,572754,52.9,twitch,k3soju,17911,10825,941325.0
60,114772787,4477,Rust,ES,es,partner,Male,570614,100.8,twitch,agustabell212,12787,5664,534218.0
61,60056333,12567,Fortnite,US,en,partner,Male,564574,48.1,twitch,tfue,27587,11742,2594851.0
62,51929371,18289,Overwatch 2,RO,en,partner,Male,562834,48.6,twitch,ml7support,29321,11586,1090729.0
64,121059319,1066,Terraria,US,en,partner,Male,535550,43.2,twitch,moonmoon,17481,12384,963993.0
65,132230344,21295,Overwatch 2,US,en,partner,Male,529305,40.7,twitch,moistcr1tikal,31292,13017,1150669.0
67,140772558,1612,League of Legends,BR,pt,partner,Male,510799,37.2,twitch,baiano,24401,13714,735864.0
68,39154778,7302,Overwatch 2,RU,ru,partner,Male,509824,71.0,twitch,recrent,13418,7182,1660588.0
69,15564828,2919,Apex Legends,US,en,partner,Male,490499,25.8,twitch,nickmercs,30581,19050,1587806.0
70,135468063,2899,Among Us,FR,fr,partner,Male,488146,41.5,twitch,antoinedaniel,26398,11763,1381859.0
71,36138196,6274,Pokemon Community Game,ES,es,partner,Male,478825,27.7,twitch,alexelcapo,28974,17308,1652225.0
72,165080419,12614,Ranch Simulator,TR,tr,partner,Male,474526,18.9,twitch,elraenn,41159,25086,1720319.0
74,26921830,285,The Evil Within,SE,en,partner,Male,462011,58.3,twitch,elajjaz,12145,7921,717690.0
75,40063341,12987,Talk Shows & Podcasts,FR,fr,partner,Male,461461,15.7,twitch,domingo,127684,29456,1403602.0
76,27115917,3229,Rocket League,FR,fr,partner,Male,456896,32.8,twitch,kamet0,38936,13916,1692172.0
77,49440419,3365,Dota 2,DE,en,partner,Male,452526,65.5,twitch,qojqva,11228,6910,970830.0
78,100901794,16584,Just Chatting,DE,en,partner,Female,448679,57.3,twitch,shylily,13207,7827,1213774.0
79,36340781,4719,VALORANT,US,en,partner,Male,441909,35.9,twitch,tarik,19250,12305,1691339.0
80,26610234,297,Scorn,US,en,partner,Male,439814,48.4,twitch,cohhcarnage,33955,9084,480683.0
81,26301881,932,World of Warcraft,US,en,partner,Male,439223,26.1,twitch,sodapoppin,26436,16840,1138474.0
82,59635827,12477,Overwatch 2,US,en,partner,Male,433085,52.2,twitch,supertf,20766,8303,926470.0
83,86277097,10666,Dota 2,RU,ru,partner,Male,424531,23.4,twitch,buster,36795,18130,2092600.0
84,20992865,4922,Dota 2,NL,en,partner,Male,423359,64.8,twitch,grubby,11108,6539,889211.0
86,59799994,6761,Grand Theft Auto V,BR,pt,partner,Male,420424,56.1,twitch,gabepeixe,13780,7497,4114270.0
87,23220337,12664,Overwatch 2,US,en,partner,Male,412029,65.8,twitch,emongg,17823,6267,737626.0
88,49839696,3380,Grand Theft Auto V,TH,th,partner,Male,409455,45.8,twitch,rebirthztv,20190,8951,1810601.0
89,445529741,15775,VALORANT,CA,en,partner,Female,405050,38.7,twitch,kyedae,26194,10476,1191533.0
92,49045679,1752,Just Chatting,KR,ko,partner,Male,400390,24.8,twitch,woowakgood,32570,16178,1310624.0
94,40488774,5653,Dota 2,RU,ru,partner,Male,391948,39.2,twitch,stray228,15107,9987,
97,121510236,13025,Minecraft,CO,es,partner,Male,382602,13.8,twitch,juansguarnizo,43140,27659,1740764.0
98,30857876,8404,Pokemon Community Game,ES,es,partner,Male,375314,52.9,twitch,folagorlives,14609,7094,1569656.0
99,22484632,498,Terraria,SE,en,partner,Male,371915,36.2,twitch,forsen,19641,10284,848414.0
